Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2019;78
Total Nacional;3.4.-Pornografía de menores;Ambos sexos;2018;79
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2024;435
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2023;430
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2022;311
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2021;269
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2020;247
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2019;238
Total Nacional;3.5.-Otros contra la libertad sexual;Masculino;2018;205
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2024;128
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2023;136
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2022;78
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2021;78
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2020;58
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2019;74
Total Nacional;3.5.-Otros contra la libertad sexual;Femenino;2018;84
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2024;563
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2023;566
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2022;389
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2021;347
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2020;305
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2019;312
Total Nacional;3.5.-Otros contra la libertad sexual;Ambos sexos;2018;289
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2024;583
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2023;556
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2022;524
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2021;519
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2020;424
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2019;215
Total Nacional;4. RELACIONES FAMILIARES;Masculino;2018;239
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2024;311
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2023;274
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2022;224
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2021;208
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2020;159
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2019;121
Total Nacional;4. RELACIONES FAMILIARES;Femenino;2018;156
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2024;894
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2023;830
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2022;748
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2021;727
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2020;583
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2019;336
Total Nacional;4. RELACIONES FAMILIARES;Ambos sexos;2018;395
Total Nacional;5. PATRIMONIO;Masculino;2024;77.266
Total Nacional;5. PATRIMONIO;Masculino;2023;68.542
Total Nacional;5. PATRIMONIO;Masculino;2022;57.501
Total Nacional;5. PATRIMONIO;Masculino;2021;45.480
Total Nacional;5. PATRIMONIO;Masculino;2020;41.541
Total Nacional;5. PATRIMONIO;Masculino;2019;30.336
Total Nacional;5. PATRIMONIO;Masculino;2018;28.305
Total Nacional;5. PATRIMONIO;Femenino;2024;16.831
Total Nacional;5. PATRIMONIO;Femenino;2023;15.427
Total Nacional;5. PATRIMONIO;Femenino;2022;12.704
Total Nacional;5. PATRIMONIO;Femenino;2021;10.381
Total Nacional;5. PATRIMONIO;Femenino;2020;9.911
Total Nacional;5. PATRIMONIO;Femenino;2019;7.948
Total Nacional;5. PATRIMONIO;Femenino;2018;8.044
Total Nacional;5. PATRIMONIO;Ambos sexos;2024;94.097
Total Nacional;5. PATRIMONIO;Ambos sexos;2023;83.969
Total Nacional;5. PATRIMONIO;Ambos sexos;2022;70.205
Total Nacional;5. PATRIMONIO;Ambos sexos;2021;55.861
Total Nacional;5. PATRIMONIO;Ambos sexos;2020;51.452
Total Nacional;5. PATRIMONIO;Ambos sexos;2019;38.284
Total Nacional;5. PATRIMONIO;Ambos sexos;2018;36.349
Total Nacional;5.1.-Hurtos;Masculino;2024;35.136
Total Nacional;5.1.-Hurtos;Masculino;2023;30.791
Total Nacional;5.1.-Hurtos;Masculino;2022;24.432
Total Nacional;5.1.-Hurtos;Masculino;2021;17.342
Total Nacional;5.1.-Hurtos;Masculino;2020;15.080
Total Nacional;5.1.-Hurtos;Masculino;2019;12.728
Total Nacional;5.1.-Hurtos;Masculino;2018;12.296
Total Nacional;5.1.-Hurtos;Femenino;2024;10.734
Total Nacional;5.1.-Hurtos;Femenino;2023;9.860
